condition,train_lab,test_lab,official,n_common_actions,n_train_win,n_test_win,fit_predict_s
corr,ElegantMink,CalMS21_supplemental,0.0,1,1893,5322,3.73
corr,ElegantMink,JovialSwallow,0.0,1,1893,1893,2.33
corr,ElegantMink,TranquilPanther,0.0,1,1893,1844,2.36
corr,ElegantMink,InvincibleJellyfish,0.0,1,1893,2500,2.61
corr,ElegantMink,CRIM13,0.0,1,1893,3768,2.38
corr,ElegantMink,ElegantMink,0.0,1,1093,800,3.36
corr,ElegantMink,CautiousGiraffe,0.0,1,1893,3767,2.87
corr,CautiousGiraffe,CalMS21_task1,0.0,3,3767,4150,8.17
corr,CautiousGiraffe,JovialSwallow,0.0,2,3767,1893,8.4
corr,CautiousGiraffe,CalMS21_task2,0.0,1,3767,5452,8.83
corr,CautiousGiraffe,CalMS21_supplemental,0.0,3,3767,5322,8.75
corr,CautiousGiraffe,InvincibleJellyfish,0.0,3,3767,2500,8.85
corr,CautiousGiraffe,TranquilPanther,0.0,2,3767,1844,10.26
corr,CautiousGiraffe,ElegantMink,0.0,1,3767,1893,4.73
corr,CautiousGiraffe,CRIM13,0.0,1,3767,3768,6.81
corr,CautiousGiraffe,CautiousGiraffe,0.0021,5,2606,1161,4.77
